timestamp,gpu_index,gpu_name,utilization_gpu,memory_used,power_draw
2025/05/09 08:44:13.786, 0, Quadro RTX 8000, 0 %, 0 MiB, 66.65 W
2025/05/09 08:44:13.788, 1, Quadro RTX 8000, 0 %, 0 MiB, 44.16 W
2025/05/09 08:44:28.792, 0, Quadro RTX 8000, 0 %, 1093 MiB, 65.99 W
2025/05/09 08:44:28.794, 1, Quadro RTX 8000, 0 %, 823 MiB, 67.37 W
2025/05/09 08:44:43.795, 0, Quadro RTX 8000, 99 %, 1607 MiB, 99.63 W
2025/05/09 08:44:43.797, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.50 W
2025/05/09 08:44:58.798, 0, Quadro RTX 8000, 98 %, 1607 MiB, 100.30 W
2025/05/09 08:44:58.832, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.77 W
2025/05/09 08:45:13.833, 0, Quadro RTX 8000, 0 %, 1607 MiB, 66.19 W
2025/05/09 08:45:13.835, 1, Quadro RTX 8000, 0 %, 1095 MiB, 67.46 W
2025/05/09 08:45:28.836, 0, Quadro RTX 8000, 99 %, 1607 MiB, 101.51 W
2025/05/09 08:45:28.850, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.67 W
2025/05/09 08:45:43.851, 0, Quadro RTX 8000, 2 %, 1607 MiB, 93.54 W
2025/05/09 08:45:43.931, 1, Quadro RTX 8000, 0 %, 1095 MiB, 67.61 W
2025/05/09 08:45:58.933, 0, Quadro RTX 8000, 99 %, 1607 MiB, 102.90 W
2025/05/09 08:45:58.935, 1, Quadro RTX 8000, 2 %, 1095 MiB, 70.81 W
2025/05/09 08:46:13.938, 0, Quadro RTX 8000, 98 %, 1607 MiB, 102.60 W
2025/05/09 08:46:14.027, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.60 W
2025/05/09 08:46:29.029, 0, Quadro RTX 8000, 99 %, 1607 MiB, 102.75 W
2025/05/09 08:46:29.113, 1, Quadro RTX 8000, 4 %, 1095 MiB, 68.24 W
2025/05/09 08:46:44.116, 0, Quadro RTX 8000, 99 %, 1607 MiB, 103.01 W
2025/05/09 08:46:44.195, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.87 W
2025/05/09 08:46:59.197, 0, Quadro RTX 8000, 94 %, 1607 MiB, 97.29 W
2025/05/09 08:46:59.198, 1, Quadro RTX 8000, 1 %, 1095 MiB, 68.64 W
2025/05/09 08:47:14.200, 0, Quadro RTX 8000, 99 %, 1607 MiB, 100.57 W
2025/05/09 08:47:14.229, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.81 W
2025/05/09 08:47:29.234, 0, Quadro RTX 8000, 98 %, 1607 MiB, 102.92 W
2025/05/09 08:47:29.245, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.92 W
2025/05/09 08:47:44.247, 0, Quadro RTX 8000, 98 %, 1607 MiB, 102.80 W
2025/05/09 08:47:44.249, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.98 W
2025/05/09 08:47:59.251, 0, Quadro RTX 8000, 98 %, 1607 MiB, 104.99 W
2025/05/09 08:47:59.256, 1, Quadro RTX 8000, 4 %, 1095 MiB, 71.10 W
2025/05/09 08:48:14.257, 0, Quadro RTX 8000, 93 %, 1607 MiB, 98.41 W
2025/05/09 08:48:14.293, 1, Quadro RTX 8000, 1 %, 1095 MiB, 69.05 W
2025/05/09 08:48:29.295, 0, Quadro RTX 8000, 98 %, 1607 MiB, 102.64 W
2025/05/09 08:48:29.306, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.92 W
2025/05/09 08:48:44.308, 0, Quadro RTX 8000, 0 %, 1607 MiB, 102.59 W
2025/05/09 08:48:44.371, 1, Quadro RTX 8000, 2 %, 1095 MiB, 70.90 W
2025/05/09 08:48:59.373, 0, Quadro RTX 8000, 98 %, 1607 MiB, 103.18 W
2025/05/09 08:48:59.377, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.83 W
2025/05/09 08:49:14.379, 0, Quadro RTX 8000, 99 %, 1607 MiB, 102.73 W
2025/05/09 08:49:14.436, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.84 W
2025/05/09 08:49:29.437, 0, Quadro RTX 8000, 99 %, 1607 MiB, 103.44 W
2025/05/09 08:49:29.483, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.84 W
2025/05/09 08:49:44.485, 0, Quadro RTX 8000, 99 %, 1607 MiB, 96.54 W
2025/05/09 08:49:44.532, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.85 W
2025/05/09 08:49:59.533, 0, Quadro RTX 8000, 99 %, 1607 MiB, 102.84 W
2025/05/09 08:49:59.609, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.97 W
2025/05/09 08:50:14.611, 0, Quadro RTX 8000, 99 %, 1607 MiB, 100.39 W
2025/05/09 08:50:14.692, 1, Quadro RTX 8000, 4 %, 1095 MiB, 71.00 W
2025/05/09 08:50:29.694, 0, Quadro RTX 8000, 95 %, 1607 MiB, 95.94 W
2025/05/09 08:50:29.712, 1, Quadro RTX 8000, 1 %, 1095 MiB, 68.93 W
2025/05/09 08:50:44.713, 0, Quadro RTX 8000, 98 %, 1607 MiB, 103.75 W
2025/05/09 08:50:44.758, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.87 W
2025/05/09 08:50:59.762, 0, Quadro RTX 8000, 98 %, 1607 MiB, 102.51 W
2025/05/09 08:50:59.764, 1, Quadro RTX 8000, 4 %, 1095 MiB, 68.90 W
2025/05/09 08:51:14.766, 0, Quadro RTX 8000, 98 %, 1607 MiB, 103.26 W
2025/05/09 08:51:14.813, 1, Quadro RTX 8000, 4 %, 1095 MiB, 71.08 W
2025/05/09 08:51:29.815, 0, Quadro RTX 8000, 99 %, 1607 MiB, 103.31 W
2025/05/09 08:51:29.856, 1, Quadro RTX 8000, 4 %, 1095 MiB, 70.94 W
2025/05/09 08:51:44.857, 0, Quadro RTX 8000, 93 %, 1607 MiB, 98.06 W
2025/05/09 08:51:44.884, 1, Quadro RTX 8000, 1 %, 1095 MiB, 68.70 W
