timestamp,gpu_index,gpu_name,utilization_gpu,memory_used,power_draw
2025/05/09 08:41:57.112, 0, Quadro RTX 8000, 0 %, 0 MiB, 42.40 W
2025/05/09 08:41:58.116, 0, Quadro RTX 8000, 0 %, 0 MiB, 66.58 W
2025/05/09 08:41:59.117, 0, Quadro RTX 8000, 0 %, 195 MiB, 65.54 W
2025/05/09 08:42:00.120, 0, Quadro RTX 8000, 4 %, 295 MiB, 65.92 W
2025/05/09 08:42:01.121, 0, Quadro RTX 8000, 0 %, 577 MiB, 65.85 W
2025/05/09 08:42:02.123, 0, Quadro RTX 8000, 9 %, 835 MiB, 70.58 W
2025/05/09 08:42:03.125, 0, Quadro RTX 8000, 4 %, 835 MiB, 65.92 W
2025/05/09 08:42:04.126, 0, Quadro RTX 8000, 46 %, 1091 MiB, 68.51 W
2025/05/09 08:42:05.127, 0, Quadro RTX 8000, 0 %, 1091 MiB, 73.03 W
2025/05/09 08:42:06.129, 0, Quadro RTX 8000, 82 %, 1603 MiB, 214.23 W
2025/05/09 08:42:07.134, 0, Quadro RTX 8000, 6 %, 1607 MiB, 113.12 W
2025/05/09 08:42:08.136, 0, Quadro RTX 8000, 100 %, 1607 MiB, 238.86 W
2025/05/09 08:42:09.138, 0, Quadro RTX 8000, 93 %, 1607 MiB, 184.11 W
2025/05/09 08:42:10.139, 0, Quadro RTX 8000, 0 %, 1607 MiB, 92.54 W
2025/05/09 08:42:11.141, 0, Quadro RTX 8000, 31 %, 1607 MiB, 181.81 W
2025/05/09 08:42:12.142, 0, Quadro RTX 8000, 100 %, 1607 MiB, 262.28 W
2025/05/09 08:42:13.145, 0, Quadro RTX 8000, 100 %, 1607 MiB, 262.84 W
2025/05/09 08:42:14.147, 0, Quadro RTX 8000, 100 %, 1607 MiB, 263.09 W
2025/05/09 08:42:15.149, 0, Quadro RTX 8000, 100 %, 1607 MiB, 263.65 W
2025/05/09 08:42:16.150, 0, Quadro RTX 8000, 100 %, 1607 MiB, 262.17 W
2025/05/09 08:42:17.152, 0, Quadro RTX 8000, 100 %, 1607 MiB, 260.75 W
2025/05/09 08:42:18.155, 0, Quadro RTX 8000, 80 %, 1607 MiB, 260.77 W
2025/05/09 08:42:19.157, 0, Quadro RTX 8000, 100 %, 1607 MiB, 259.72 W
2025/05/09 08:42:20.159, 0, Quadro RTX 8000, 0 %, 1607 MiB, 95.98 W
2025/05/09 08:42:21.160, 0, Quadro RTX 8000, 100 %, 1607 MiB, 262.26 W
2025/05/09 08:42:22.162, 0, Quadro RTX 8000, 36 %, 1607 MiB, 164.87 W
2025/05/09 08:42:23.163, 0, Quadro RTX 8000, 100 %, 1607 MiB, 262.38 W
2025/05/09 08:42:24.166, 0, Quadro RTX 8000, 53 %, 1607 MiB, 188.42 W
2025/05/09 08:42:25.168, 0, Quadro RTX 8000, 100 %, 1607 MiB, 263.35 W
2025/05/09 08:42:26.169, 0, Quadro RTX 8000, 100 %, 1607 MiB, 263.56 W
2025/05/09 08:42:27.171, 0, Quadro RTX 8000, 100 %, 1607 MiB, 263.41 W
2025/05/09 08:42:28.172, 0, Quadro RTX 8000, 100 %, 1607 MiB, 264.15 W
2025/05/09 08:42:29.174, 0, Quadro RTX 8000, 100 %, 1607 MiB, 262.66 W
2025/05/09 08:42:30.175, 0, Quadro RTX 8000, 100 %, 1607 MiB, 263.97 W
2025/05/09 08:42:31.177, 0, Quadro RTX 8000, 0 %, 1607 MiB, 258.82 W
2025/05/09 08:42:32.179, 0, Quadro RTX 8000, 100 %, 1607 MiB, 253.82 W
2025/05/09 08:42:33.180, 0, Quadro RTX 8000, 4 %, 1607 MiB, 137.52 W
2025/05/09 08:42:34.182, 0, Quadro RTX 8000, 100 %, 1607 MiB, 245.48 W
2025/05/09 08:42:35.183, 0, Quadro RTX 8000, 19 %, 1607 MiB, 98.14 W
2025/05/09 08:42:36.185, 0, Quadro RTX 8000, 100 %, 1607 MiB, 235.11 W
2025/05/09 08:42:37.190, 0, Quadro RTX 8000, 37 %, 1607 MiB, 98.76 W
2025/05/09 08:42:38.191, 0, Quadro RTX 8000, 100 %, 1607 MiB, 265.40 W
2025/05/09 08:42:39.193, 0, Quadro RTX 8000, 54 %, 1607 MiB, 162.40 W
2025/05/09 08:42:40.194, 0, Quadro RTX 8000, 100 %, 1607 MiB, 264.80 W
2025/05/09 08:42:41.196, 0, Quadro RTX 8000, 77 %, 1607 MiB, 190.87 W
2025/05/09 08:42:42.199, 0, Quadro RTX 8000, 100 %, 1607 MiB, 264.23 W
2025/05/09 08:42:43.200, 0, Quadro RTX 8000, 100 %, 1607 MiB, 178.79 W
2025/05/09 08:42:44.202, 0, Quadro RTX 8000, 100 %, 1607 MiB, 258.75 W
2025/05/09 08:42:45.203, 0, Quadro RTX 8000, 100 %, 1607 MiB, 265.79 W
2025/05/09 08:42:46.205, 0, Quadro RTX 8000, 100 %, 1607 MiB, 264.98 W
2025/05/09 08:42:47.208, 0, Quadro RTX 8000, 100 %, 1607 MiB, 262.74 W
2025/05/09 08:42:48.209, 0, Quadro RTX 8000, 100 %, 1607 MiB, 265.69 W
2025/05/09 08:42:49.211, 0, Quadro RTX 8000, 100 %, 1607 MiB, 259.37 W
2025/05/09 08:42:50.212, 0, Quadro RTX 8000, 76 %, 1607 MiB, 265.23 W
2025/05/09 08:42:51.213, 0, Quadro RTX 8000, 100 %, 1607 MiB, 259.55 W
2025/05/09 08:42:52.215, 0, Quadro RTX 8000, 27 %, 1607 MiB, 264.12 W
2025/05/09 08:42:53.217, 0, Quadro RTX 8000, 100 %, 1607 MiB, 256.73 W
2025/05/09 08:42:54.219, 0, Quadro RTX 8000, 0 %, 1607 MiB, 100.22 W
2025/05/09 08:42:55.220, 0, Quadro RTX 8000, 100 %, 1607 MiB, 238.35 W
2025/05/09 08:42:56.222, 0, Quadro RTX 8000, 12 %, 1607 MiB, 100.63 W
2025/05/09 08:42:57.223, 0, Quadro RTX 8000, 100 %, 1607 MiB, 260.33 W
2025/05/09 08:42:58.225, 0, Quadro RTX 8000, 32 %, 1607 MiB, 143.90 W
2025/05/09 08:42:59.226, 0, Quadro RTX 8000, 100 %, 1607 MiB, 264.31 W
2025/05/09 08:43:00.231, 0, Quadro RTX 8000, 44 %, 1607 MiB, 190.52 W
2025/05/09 08:43:01.232, 0, Quadro RTX 8000, 100 %, 1607 MiB, 261.90 W
2025/05/09 08:43:02.234, 0, Quadro RTX 8000, 77 %, 1607 MiB, 191.48 W
2025/05/09 08:43:03.235, 0, Quadro RTX 8000, 0 %, 287 MiB, 99.34 W
